Program,University/Hochschule,Location,Period Of Study,Area Of Study,Focus,Deadlines,Admission Semester,Annotation,Admission Modus,Admission requirements,Lecture period,Find Student advisory service,Links
Autonomous Systems,Bonn-Rhine-Sieg University of Applied Sciences,Sankt Augustin,4 semesters,Computer Science,"Safety and Security of Intelligent Systems, Explainable Robotics, Intelligent Manipulation, Machine Learning, Artificial Intelligence, Autonomous Systems, Intelligent Robots, Systems Engineering, Human Robot Interaction",In the summer semester: No start for undergraduate degree courses without local admission restrictions | see online at: https://apollo.h-brs.de,Summer and Winter Semester,The Master Program Autonomous Systems is offered by the Institute of Applied Sciences of the Bonn-Aachen International Center for Information Technology (b-it). This institute is based on the cooperation between two renowned German competence centres: the Fraunhofer Institute for Intelligent Analysis and Information Systems (IAIS) and the Department of Computer Science of the University of Bonn-Rhein-Sieg (H-BRS).,Without admission restriction | https://www.h-brs.de/de/inf/zulassung-bewerbung-master-autonomous-systems,"First professionally qualifying university degree (Bachelor, Diplom or equivalent) in a computer science degree course or a mathematical-scientific, engineering or economics degree course with a sufficient computer science component.

Sufficient knowledge of concepts, methods and tools in the field of Computer Science. Applicants who have already completed their first degree course in mathematical/scientific subjects or mechanical engineering can be admitted if at least 50% of the computer science content has been taught. In this case, additional courses of up to 30 ECTS may be required.
Proof of the required English language skills. 
No knowledge of the German language is required for this degree course.",-,studienberatungath-brs.de | https://www.h-brs.de/de/d5/allgemeine-studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/bonn-rhine-sieg-university-of-applied-sciences-autonomous-systems-w7153/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w7153&hec-offset=22"
Bioinformatics,University of Potsdam,Potsdam,4 semesters,Biology | Bioinformatics | Computer Science,-,Expired,Winter Semester only,"Application deadline for winter semester 2019/20: 01.04.2019-01.09.2019
Application deadline for summer semester 2020: no application possible in the 1st spring semester",Without admission restriction | https://www.uni-potsdam.de/de/studium/konkret/rechtsgrundlagen/zulassungsordnungen-auswahlsatzungen,See https://www.uni-potsdam.de/fileadmin/projects/studium/docs/01_studienangebot/06_master/studium_master.pdf,16.10.2025 - 06.02.2026 | 13.04.2026 - 24.07.2026,studienberatungatuni-potsdam.de | https://www.uni-potsdam.de/studium/beratung/zsb.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-bioinformatics-w24840/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w24840&hec-offset=23"
Business computing,University of Mannheim,Mannheim,4 semesters,Information Systems and Management | Business Administration,-,Expired | 01.04.2026 - 15.05.2026,Summer and Winter Semester,Cut-off date: 31 May (for the autumn semester) and 15 November (for the spring semester),Local admission restriction | https://www.uni-mannheim.de/studium/vor-dem-studium/bewerbung/,The selection regulations can be found at https://www.uni-mannheim.de/studium/vor-dem-studium/bewerbung/bewerbung-a-bis-z/auswahlsatzungen,10.02.2025 - 30.05.2025 | 01.09.2025 - 05.12.2025,studiumatuni-mannheim.de | https://www.uni-mannheim.de/infos-fuer/studieninteressierte/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-mannheim-business-computing-w26555/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w26555&hec-offset=24"
Business Consulting,"Furtwangen University - computer science, technology, economics, media, health",Furtwangen,3 semesters,Information Systems and Management,"IT Consulting, Business Intelligence, Business Process Management, Enterprise Resource Planning (ERP) Systems, Database Management",Until 15.01.2026 (Universitywide deadline),Summer Semester only,"Lectures begin on 1 March, including the orientation programme and the two-week course of Intensive German.",Local admission restriction,"Qualification for admission to higher education and first professionally qualifying university degree in a discipline relating to the Master's course, at least 1 year qualifying professional experience",-,studienberatungaths-furtwangen.de | https://www.hs-furtwangen.de/zukunft-studieren/beratung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/furtwangen-university-computer-science-technology-economics-media-health-business-consulting-w5845/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w5845&hec-offset=25"
Business Intelligence and Data Analytics,University of Applied Sciences Emden/Leer,Emden,3 semesters,Information Technology | Engineering Informatics | Data Science,"Computer Sciences, Introduction to Data Science, Controlling, Machine Learning, Communication & Culture, Business Analytics, Introduction to Scientific Working",Until 30.09.2025 | Until 30.04.2026,Summer and Winter Semester,The standard period of study is 3 years full-time and 5 years part-time,Local admission restriction | https://www.hs-emden-leer.de/studierende/studienangebot/alle-studiengaenge/business-intelligence-and-data-analytics/,"Bachelor's degree in a technical field such as electrical engineering, mechanical engineering, chemical engineering, natural sciences, information sciences, etc. with at least 210 ECTS/CP (3.5 years of full-time study) or an equivalent diploma degree. For a three-year 180 CP programme, 30 CP must be made up in consultation with the department.
Professional experience in a relevant field of at least one year full-time or correspondingly two years part-time should be proven.",03.03.2025 - 13.06.2025 | 22.09.2025 - 30.01.2026,zsbaths-emden-leer.de | https://www.hs-emden-leer.de/hochschule/organisation/einrichtungen/zentrale-studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-applied-sciences-emdenleer-business-intelligence-and-data-analytics-w64844/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64844&hec-offset=26"
Business Intelligence and Process Management,Berlin School of Economics and Law,Berlin,3 semesters,Information Systems and Management | Business Administration,"Business Intelligence, Business Process Management",Expired,Winter Semester only,-,Local admission restriction | https://www.hwr-berlin.de/studium/studiengaenge/detail/13-business-intelligence-and-process-management/,"- Bachelor's degree or equivalent academic degree in business informatics, administrative informatics, economics, business administration (with a focus on industrial engineering), industrial engineering (with a focus on computer science or business informatics) or computer science (with a focus on business administration or business informatics)
– At least 210 ECTS credit points (applicants with 180 credit points must earn an additional 30 credit points; for example. through an integrated work placement, which lengthens the degree course by 1 semester)
Subjects successfully completed in the following subject groups: business administration (10 ECTS) and quantitative methods / databases (10 ECTS) and (business) informatics (10 ECTS)
- Very good English language skills, level B2 of the CERF
- GMAT / GMAT Focus over 600 points, if available.
- At least one year of work experience in the area of the desired field of study, if available 
- Letter of motivation and curriculum vitae in English",01.10.2025 - 11.02.2026 | 01.04.2026 - 31.07.2026,studienberatungathwr-berlin.de | https://www.hwr-berlin.de/studium/beratung/allgemeine-studienberatung/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/berlin-school-of-economics-and-law-business-intelligence-and-process-management-w40840/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w40840&hec-offset=27"
Business Mathematics,University of Marburg,Marburg,4 semesters,Computer Science | Mathematics | Business Mathematics | Business Administration,"Stochastics and Statistics, Finance and Insurance Mathematics, Accounting and Finance, Innovation and Information, Market-Oriented Company Management, Applied Mathematics, Numerics and optimisation",Application deadlines: https://www.uni-marburg.de/bewerbungsfristen | Application deadlines: https://www.uni-marburg.de/bewerbungsfristen,Summer and Winter Semester,"General information:
The aim of the Master's degree course in ""Business Mathematics"" is to specialise and broaden the specialist skills acquired in the Bachelor's degree course in ""Business Mathematics ""or ""Mathematics"". In addition to advanced courses in mathematics, economics and computer science, you will be introduced to independent scientific work in the Master's degree. You will study current research literature and work scientifically on a problem from the field of business mathematics as part of your Master's thesis.

Research focuses:
Specialisations are possible in the following areas, among others:

Applied Mathematics:

- Numerics and optimisation,
- Stochastics and Statistics,
- Finance and Insurance Mathematics.

Economics:

- Accounting and Finance.
- Innovation and Information,
- Market-Oriented Company Management,
- Economics.",Without admission restriction | https://www.uni-marburg.de/de/studium/nach-dem-abschluss/masterstudium/masterstudiengaenge/m-business-mathematics,https://www.uni-marburg.de/de/studium/studienangebot/master/m-business-mathematics,13.10.2025 - 13.02.2026 | 13.04.2026 - 17.07.2026,zasatuni-marburg.de | https://www.uni-marburg.de/studium/zas/index_html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-marburg-business-mathematics-w7727/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w7727&hec-offset=28"
"Climate, Earth, Water, Sustainability",University of Potsdam,Potsdam,4 semesters,Geoecology | Geosciences | Hydrology | Applied Computer Science | Environmental Science | Sustainability Sciences (Ecological),-,Expired,Winter Semester only,This degree offer is subject to approval by the responsible ministry.,Without admission restriction | https://www.uni-potsdam.de/de/studium/konkret/rechtsgrundlagen/zulassungsordnungen-auswahlsatzungen,See https://www.uni-potsdam.de/fileadmin/projects/studium/docs/01_studienangebot/06_master/studium_master.pdf,16.10.2025 - 06.02.2026 | 13.04.2026 - 24.07.2026,studienberatungatuni-potsdam.de | https://www.uni-potsdam.de/studium/beratung/zsb.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-climate-earth-water-sustainability-w64854/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w64854&hec-offset=29"
Cognitive Science,Ruhr University Bochum,Bochum,4 semesters,Psychology | Computer Science | Neuroscience,Cognitive Science,03.06.2026 - 15.07.2026,Winter Semester only,-,Local admission restriction | https://studium.ruhr-uni-bochum.de/de/bewerbung-zum-master,"For this course, you should have obtained your first degree in a course of study of the following subject groups and/or study areas:
- Subject group: Social Sciences, Mathematics, Natural Sciences, Linguistics and Cultural Studies
-Field of study: Psychology, Neuroscience, Computer Science, Linguistics, Biology or Mathematics",07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,zsbatrub.de | https://www.ruhr-uni-bochum.de/zsb/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-cognitive-science-w40119/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w40119&hec-offset=30"
Cognitive Science,University of Osnabrück,Osnabrück,4 semesters,Psychology | Philosophy | Computational Linguistics | Neuroscience | Artificial Intelligence,"Artificial Intelligence, Cognitive Psychology, Neuroscience, (Computational) Linguistics, Neuroinformatics, Philosophy of Cognition",Expired | Expired,Summer and Winter Semester,"Cognitive science examines phenomena such as perception and attention, memory and learning, planning, decision-making and problem solving, feeling, thinking, speaking and acting. In the 1970s, it evolved from a series of scientific/technical and humanities-related individual subjects into an interdisciplinary and multidisciplinary subject. On the one hand, it is about understanding cognitive phenomena in biological systems. On the other hand, the knowledge that is gained is used to create artificial systems with comparable capabilities. While cognition was originally understood as a symbol processing process in the brain, cognitive research is now interested in a broad spectrum of phenomena that often also include the body and parts of the environment. Nevertheless, methods such as those of machine learning in artificial neural networks remain central to cognitive research. However, it also uses modern measurement methods (e.g. EEG, eye tracking) and allows subjects to explore virtual realities or examines the social behaviour of primates to learn more about cognition beyond the classic laboratory situation. Philosophical questions such as those on the ethics of artificial intelligence are not neglected either. 

The Master's degree programme in ""Cognitive Science"" gives students the opportunity to specialise at greater depth in at least two sub-fields of cognitive science – (computer) linguistics, cognitive (neuro) psychology, artificial intelligence, neuroinformatics, neurosciences and philosophy – and to develop their individual academic profile in accordance with their interests and academic background. In interdisciplinary courses, students learn to understand and establish connections between the sub-areas of cognitive science. As part of a two-semester study project, they deal intensively with a research question and develop a solution approach, present and document it and gain valuable experience in independent project management under conditions that are common in professional scientific research at universities and in industry. The master's thesis, in which students can demonstrate their research competences in detail, takes place at the end of the course.

Students of the Master's degree programme in ""Cognitive Science"" in Osnabrück can apply for an international double degree programme in collaboration with the University of Trento/Rovereto (Italy).",Without admission restriction | https://www.uni-osnabrueck.de/studieren/bewerbung-und-studienstart,"Qualified Bachelor's degree in a 'Cognitive Science' course or a comparable degree. Graduates from participatory or related disciplines may also be admitted. Additionally, proof of a command of English at language level B2 according to the CEFR, as well as a written application providing evidence of aptitude and motivation for the course.",14.04.2025 - 19.07.2025 | 13.10.2025 - 31.01.2026,infoatzsb-os.de | https://www.zsb-os.de,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-osnabrueck-cognitive-science-w6156/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w6156&hec-offset=31"
Cognitive Science,Technical University of Darmstadt,Darmstadt,4 semesters,Psychology | Computer Science,Cognitive Science,www.tu-darmstadt.de/application,Winter Semester only,Part-time study: www.teilzeitstudium.tu-darmstadt.de.,Without admission restriction | https://www.tu-darmstadt.de/studieren/studieninteressierte/bewerbung_zulassung_tu/bewerbung_master/index.de.jsp,"B.Sc. Cognitive Science at the University of Technology Darmstadt or a comparable degree course; if necessary, an oral aptitude test; if necessary, admission is possible on a conditional basis of a maximum of 30 CP.",13.10.2025 - 13.02.2026 | 13.04.2026 - 17.07.2026,infoatzsb.tu-darmstadt.de | http://www.zsb.tu-darmstadt.de/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/technical-university-of-darmstadt-cognitive-science-w63850/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w63850&hec-offset=32"
Cognitive Systems,University of Ulm,Ulm,4 semesters,"Business, Occupational, and Organisational Psychology | Computer Science | Artificial Intelligence","Computer Vision and Pattern Recognition, Language Comprehension and Dialogue Systems, Cognitive Neurosciences, Companion Systems, Learning Psychology and Serious Games, Human-Computer Interaction and Human Factors, Cognitive Ergonomics, Perceptual and Attentive User Interfaces, Spatial Cognition","Deadlines for Master's degree courses at:
https://www.uni-ulm.de/studium/bewerbung-und-immatrikulation/masterstudiengaenge/",Winter Semester only,-,Local admission restriction | https://www.uni-ulm.de/studium/bewerbung-und-immatrikulation/masterstudiengaenge/,-,13.10.2025 - 13.02.2026 | 13.04.2026 - 18.07.2026,zentralestudienberatungatuni-ulm.de | https://www.uni-ulm.de/studium/studienberatung/zentrale-studienberatung.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-ulm-cognitive-systems-w47553/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w47553&hec-offset=33"
"Cognitive Systems: Language, Learning and Reasoning",University of Potsdam,Potsdam,4 semesters,Applied Computer Science | Computational Linguistics | Linguistics,-,Expired,Winter Semester only,"The course is offered by the Faculty of Human Sciences at the University of Potsdam, and during the degree there is cooperation with the Faculty of Science at the University of Potsdam.",Local admission restriction | https://www.uni-potsdam.de/de/studium/konkret/rechtsgrundlagen/zulassungsordnungen-auswahlsatzungen,See https://www.uni-potsdam.de/fileadmin/projects/studium/docs/01_studienangebot/06_master/studium_master.pdf,16.10.2025 - 06.02.2026 | 13.04.2026 - 24.07.2026,studienberatungatuni-potsdam.de | https://www.uni-potsdam.de/studium/beratung/zsb.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-potsdam-cognitive-systems-language-learning-and-reasoning-w44744/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w44744&hec-offset=34"
Computational Biology and Bioinformatics,University of Göttingen,Göttingen,4 semesters,Biology | Bioinformatics | Computer Science,-,Application deadlines for the respective degree programme at https://www.uni-goettingen.de/de/3811.html,Winter Semester only,-,Local admission restriction,-,14.04.2025 - 18.07.2025 | 21.10.2024 - 07.02.2025,zentrale.studienberatungatuni-goettingen.de | https://www.uni-goettingen.de/de/1697.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-computational-biology-and-bioinformatics-w65338/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w65338&hec-offset=35"
Computational Engineering,Ruhr University Bochum,Bochum,4 semesters,Computer Science | Computer Engineering | Engineering Informatics,-,Information on admission to Master's degree courses can be found at: https://studium.ruhr-uni-bochum.de/de/bewerbung-zum-master-fuer-internationale,Winter Semester only,-,Without admission restriction | https://www.compeng.ruhr-uni-bochum.de/ce/index.html.en,"Application to the faculty/institute
Bachelor's degree, Dipl.-Ing. (university of applied sciences) TOEFL 550/215, Dipl.-Ing. Civil Engineering, Mechanical Engineering and related areas",07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,zsbatrub.de | https://www.ruhr-uni-bochum.de/zsb/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/ruhr-university-bochum-computational-engineering-w6061/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w6061&hec-offset=36"
Computational Engineering,University of Erlangen-Nuremberg,Erlangen,4 semesters,Electrical Engineering | Mechanical Engineering | Engineering Informatics,"Computer Science, Mathematics, Mechatronics, Optics and Photonics, Information Technology, Thermal and Fluid Dynamics, Solid State Mechanics and Dynamics, Computational Materials Science, Medical Technology, Automatic Control Technology",Closing date for applications for Master´s degree programmes: www.master.fau.de,Winter Semester only,-,Without admission restriction | https://www.ce.studium.fau.de/studieninteressierte/zugang-masterstudium/,Bachelor of a university or diploma or Master of a university of applied sciences\; Ask your contact person for details.,23.04.2025 - 25.07.2025 | 13.10.2025 - 06.02.2026,zsbatfau.de | https://www.zsb.fau.de,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-erlangen-nuremberg-computational-engineering-w6164/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w6164&hec-offset=37"
Computational Engineering,University of Rostock,Rostock,4 semesters,Computer Engineering,"Applied Mathematics, Computational Methods, Software Concepts, Data Management, Visualisation",01.10.2025 - 30.11.2025 | 01.04.2026 - 31.05.2026,Summer and Winter Semester,"single-subject degree course, cannot be combined",Without admission restriction | https://www.uni-rostock.de/index.php?id=887,"Subject-specific admission requirements:
- English skills with a score of 6.5 on the International English Language Test (IELTS) or a score of 90 on the TOEFL IBT test",13.10.2025 - 30.01.2026 | 07.04.2026 - 17.07.2026,studiumatuni-rostock.de | https://www.uni-rostock.de/index.php?id=22948,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-rostock-computational-engineering-w7029/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w7029&hec-offset=38"
Computational Linguistics,University of Stuttgart,Stuttgart,4 semesters,Computer Science | Computational Linguistics,"Computer Linguistics, Natural Language Processing, Natural Language Processing, Applied Linguistics, Computer Science, Programming","01.12.2025 - 15.01.2026 | For all information for international students, visit www.uni-stuttgart.de/studium/bewerbung/international-degree/",Summer and Winter Semester,The course is taught in English\; A good command of English is a necessary requirement.,Without admission restriction | https://www.uni-stuttgart.de/studium/bewerbung/master/,The exact admission and selection criteria can be found on the following web page: www.uni-stuttgart.de/studium/bewerbung/master/zulassung,13.10.2025 - 07.02.2026 | 07.04.2026 - 18.07.2026,zsbatuni-stuttgart.de | https://www.uni-stuttgart.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-stuttgart-computational-linguistics-w39397/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w39397&hec-offset=39"
Computational Mathematics,University of Passau,Passau,4 semesters,Computer Science | Applied Mathematics | Statistics,"Algebra, Geometry and Cryptography, Mathematical Logic and Discrete Mathematics, Analysis, Numerics and Approximation Theory, Dynamical Systems and Optimisation, Stochastics, Statistics, Data Analysis and Data Management and Programming, Key Competencies and Language Training, Applications",01.11.2025 - 15.12.2025 | 01.04.2026 - 31.05.2026,Summer and Winter Semester,-,Local admission restriction | https://www.uni-passau.de/bewerbung-einschreibung,"- undergraduate university degree in mathematics or a related discipline with a mathematics component of at least 110 ECTS credits (10 ECTS credits for a dissertation/bachelor's thesis)
- final grade for your first degree of 2.7 or better under the German marking system, or the relevant equivalent final grade in a foreign marking system or ranking among the best 70% of graduates within the cohort",14.10.2024 - 07.02.2025 | 23.04.2025 - 25.07.2025,studienberatungatuni-passau.de | https://www.uni-passau.de/studienberatung/,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-passau-computational-mathematics-w59180/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w59180&hec-offset=40"
Computational Methods in Engineering,University of Hannover,Hannover,4 semesters,Information Technology | Communications Technology | Engineering Informatics,"Mathematics, Computer Science, Mechanics, Modelling, Simulation",15.04.2026 - 31.05.2026 | 15.10.2025 - 30.11.2025,Summer and Winter Semester,-,Without admission restriction | https://www.uni-hannover.de/zugangsordnung,The admission requirement for the Master's course is a Bachelor's or equivalent qualification in Engineering Sciences or a closely related subject. For detailed information on requirements see the admission regulations for this course at: www.uni-hannover.de/zugangsordnung,07.04.2025 - 19.07.2025 | 13.10.2025 - 31.01.2026,studienberatungatuni-hannover.de | https://www.uni-hannover.de/studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hannover-computational-methods-in-engineering-w57774/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w57774&hec-offset=41"
Computational Methods in Engineering,University of Magdeburg,Magdeburg,4 semesters,Electrical Engineering | Mechanical Engineering | Software Engineering | Applied Mathematics,-,Expired,Winter Semester only,"Course Objective

After successful completion of the degree course, you will have access to a portfolio of knowledge, skills and competencies in the field of numerical simulation, modelling of engineering problems and a profound understanding of mechanical problems. Graduates are specialised in the simulation of structures, fluids, thermomechanical processes and electromechanical interactions and are able to translate complex physical systems into mechanical models and use suitable tools to predict system behaviour by means of sophisticated numerical analyses.


Professional fields later on

The methods in the field of Computational Methods in Engineering are the future-oriented techniques that modern engineers need. Typical applications include for instance:

    3D structural analyses, non-linear dynamics, optimisations, multi-body dynamics, crash simulations and acoustics in automotive engineering and general mechanical engineering
    Fluid-structure interaction, structure optimisation, supersonic flight characteristics and high-temperature stresses in aerodynamics and process engineering
    Material models (e.g. bones, tissue), prostheses, implants and artificial blood vessels in biomechanics and medical technology

Graduates will work professionally at the interfaces between mechanical engineering, process engineering, electrical engineering, computer science and mathematics as specialists for numerical analyses and simulations of complex technical problems. They will span the gap between the classic engineering disciplines, mathematics, computer science and software development.",Without admission restriction,"Relevant Bachelor’s academic degree (at least 180 CP) and an average grade of at least 2.5 determined from the examination results

Proof of subject-related skills through
- At least 15 CP in Mathematics and Computer Science,
- 40 credit points in Engineering Principles
(including 10 credit points in Technical Mechanics, 5 credit points in Fluid Mechanics or Thermodynamics)

Application is possible if the academic degree has not yet been completed at the time of application and no more than 25 CP are missing until the Bachelor's degree programme has been successfully completed in full. This has no bearing on the proof of subject-related competencies and the determined grade point average of 2.5 at the time of application.",07.04.2025 - 11.07.2025 | 13.10.2025 - 06.02.2026,studienberatungatovgu.de | https://www.ovgu.de/Studium/Vor+dem+Studium/Allgemeine+Studienberatung.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-magdeburg-computational-methods-in-engineering-w68078/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w68078&hec-offset=42"
Computational Neuroscience,Eberhard Karls University Tübingen,Tübingen,4 semesters,Neuropsychology | Computer Science,"Computational Neuroscience, Neurobiology, Computer Science, Bioinformatics, Neuroinformatics, Artificial Intelligence, Neurophysics",Expired (Universitywide deadline),Winter Semester only,Earlier application deadline on 15. 01,Local admission restriction | https://www.uni-tuebingen.de/de/1579,Deviating application deadline on 15 January.,14.10.2024 - 08.02.2025 | 14.04.2025 - 26.07.2025,zsbatuni-tuebingen.de | https://www.uni-tuebingen.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/eberhard-karls-university-tuebingen-computational-neuroscience-w32499/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-subjectGroup=2-226,2-229,2-232,2-233,2-234,2-235,2-404,2-547,2-548,2-236&hec-deadlineId=3&hec-studyType=t,v&hec-limit=100&hec-admissionMode=O,X&hec-id=w32499&hec-offset=43"
